Card Number,0,0.00
123456789,1234,5645.00
123456,1234,56458300.00
1234567891234567,1234,54651.00
1234785548955426,1588,19222.00
1459631245896347,1546,485555.00
5478541236975321,5151,542112.00
5874563242893214,1545,254145.00
2543662351236252,1578,1500000.00
4112587964555463,7854,1422151.00
4572545121545441,2454,25000.00
6315878456154845,2679,15400.00
6646448744132147,5444,14555.00
1518541113215487,4599,2411111.00
6455364357524241,5877,24666.00
2545646124651241,5151,25477.00
5465743215812435,5745,630000.00
2641525429451246,2411,6423000.00
4524528985272576,5466,225220.00
2878676786786764,5766,590000.00
4272757575750142,5244,671222.00
7536786786786786,2469,168700.00
2575756586924242,5612,257000.00
2454552542457711,6455,2545710.00
4572751465831145,2564,657211.00
5425254272578575,2544,65000.00
7867869666999765,9966,48000.00
1412227897858245,5678,25400.00
4424785452427858,5896,24525.00
5427455555755752,4800,254400.00
1474575757517417,5844,65444.00
7527577566854275,5477,265448.00
2401142575769696,5841,9400000.00
4012450254354635,8455,596441.00
4530758632097867,5477,5499.00
2054675860286620,8463,85440.00
7562707582998787,6945,578922.00
7128760789056526,6485,254655.00
5767806786278677,7892,698440.00
2676086207869974,5746,98000.00
5460543079868688,7564,58000.00
7860260786999999,8756,54600.00
7546706760999078,8945,65120.00
6146844616464161,5455,544464.00
4644648487979764,6540,67856.00
8719877877844400,4978,615465.00
9879178778777991,3658,464468.00
6874717756210999,5687,257114.00
4512689578693251,5896,49224.00
1644874959848563,4486,646888.00
9871978187464643,5784,56000.00
2781871879187877,6546,56800.00
1641414415641545,5689,980000.00
9187178189654895,5879,58400.00
